Account_ID,Transaction_Timestamp,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Response,Transaction_Status,Month
3,2009-02-21T23:23:47Z,2,6,VI,20,B,1020,Approved,Feb
7,2009-02-14T11:35:42Z,2,6,VI,20,C,1020,Approved,Feb
17,2009-02-04T10:55:54Z,2,6,VI,20,H,1020,Approved,Feb
21,2009-02-26T09:33:05Z,2,6,VI,20,C,1020,Approved,Feb
24,2009-02-12T10:35:55Z,2,6,VI,20,G,1020,Approved,Feb
24,2009-02-23T11:12:04Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-23T16:31:24Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-24T05:52:17Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-24T18:00:51Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-25T07:03:45Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-25T19:15:50Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-26T07:51:42Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-26T17:29:58Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-27T06:25:25Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-27T18:46:15Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-28T07:12:13Z,2,6,VI,20,G,1320,Declined,Feb
24,2009-02-28T19:42:07Z,2,6,VI,20,G,1320,Declined,Feb
30,2009-02-23T11:18:18Z,8,18,AX,25,NULL,1020,Approved,Feb
31,2009-02-12T15:43:35Z,8,18,AX,25,NULL,1020,Approved,Feb
99,2009-02-22T14:44:08Z,2,6,VI,20,B,1020,Approved,Feb
110,2009-02-07T10:09:17Z,8,18,AX,20,NULL,1020,Approved,Feb
114,2009-02-23T22:16:45Z,2,6,VI,20,A,1020,Approved,Feb
114,2009-02-27T20:24:37Z,2,6,VI,20,A,1020,Approved,Feb
125,2009-02-20T10:26:03Z,10,6,DI,20,NULL,1020,Approved,Feb
137,2009-02-17T16:30:56Z,2,6,VI,20,B,1020,Approved,Feb
137,2009-02-23T18:05:42Z,2,6,VI,20,B,1020,Approved,Feb
140,2009-02-10T22:54:18Z,2,6,VI,20,C,1020,Approved,Feb
149,2009-02-09T17:30:58Z,2,6,VI,20,B,1020,Approved,Feb
