Account_ID,Transaction_Timestamp,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Response,Transaction_Status,Month
13,2009-05-28T21:58:48Z,8,18,AX,20,NULL,1020,Approved,May
14,2009-05-10T00:13:13Z,2,6,VI,20,D,1020,Approved,May
25,2009-05-09T18:15:11Z,2,6,VI,20,B,1020,Approved,May
43,2009-05-13T12:09:34Z,8,18,AX,20,NULL,1020,Approved,May
61,2009-05-08T21:39:52Z,7,15,MC,20,MCC,1020,Approved,May
63,2009-05-16T16:47:49Z,2,6,VI,20,A,1020,Approved,May
63,2009-05-28T10:42:34Z,2,6,VI,20,A,1020,Approved,May
67,2009-05-25T16:42:46Z,7,15,MC,20,MCW,1020,Approved,May
71,2009-05-11T13:11:47Z,8,18,AX,20,NULL,1020,Approved,May
89,2009-05-14T23:14:11Z,8,18,AX,20,NULL,1020,Approved,May
105,2009-05-18T13:08:02Z,2,6,VI,25,A,1020,Approved,May
112,2009-05-27T16:32:34Z,7,15,MC,20,MPL,1020,Approved,May
121,2009-05-05T11:51:23Z,8,18,AX,20,NULL,1020,Approved,May
122,2009-05-05T08:01:38Z,7,15,MC,20,MPL,1020,Approved,May
123,2009-05-11T00:15:08Z,2,6,VI,20,B,1020,Approved,May
125,2009-05-07T10:37:47Z,10,6,DI,20,NULL,1020,Approved,May
144,2009-05-10T00:13:43Z,2,6,VI,20,B,1020,Approved,May
144,2009-05-26T00:13:12Z,2,6,VI,20,B,1020,Approved,May
146,2009-05-16T10:28:17Z,2,6,VI,21,A,1020,Approved,May
151,2009-05-02T16:24:14Z,7,15,MC,25,NULL,1020,Approved,May
153,2009-05-07T17:48:35Z,2,6,VI,20,A,1020,Approved,May
160,2009-05-03T22:36:12Z,2,6,VI,20,A,1020,Approved,May
164,2009-05-31T19:09:27Z,8,18,AX,20,NULL,1020,Approved,May
165,2009-05-05T13:33:21Z,2,6,VI,20,H,1020,Approved,May
180,2009-05-03T14:25:49Z,7,15,MC,20,MPL,1020,Approved,May
190,2009-05-27T21:09:34Z,2,6,VI,21,B,1020,Approved,May
236,2009-05-01T00:14:21Z,2,6,VI,20,C,1020,Approved,May
236,2009-05-17T00:10:54Z,2,6,VI,20,C,1020,Approved,May
241,2009-05-05T00:09:51Z,2,6,VI,20,B,1020,Approved,May
273,2009-05-06T13:09:05Z,2,6,VI,20,H,1020,Approved,May
302,2009-05-17T13:51:46Z,8,18,AX,20,NULL,1020,Approved,May
322,2009-05-13T15:18:00Z,2,6,VI,35,S,1020,Approved,May
329,2009-05-12T20:11:35Z,2,6,VI,20,C,1020,Approved,May
345,2009-05-28T23:29:15Z,8,18,AX,20,NULL,1020,Approved,May
355,2009-05-04T00:09:36Z,2,6,VI,20,B,1020,Approved,May
355,2009-05-11T10:29:50Z,2,6,VI,20,B,1020,Approved,May
362,2009-05-18T15:40:26Z,2,6,VI,25,H,1020,Approved,May
364,2009-05-08T19:45:13Z,2,6,VI,20,B,1020,Approved,May
373,2009-05-03T23:16:25Z,2,6,VI,20,G,1020,Approved,May
373,2009-05-19T00:12:57Z,2,6,VI,20,G,1020,Approved,May
393,2009-05-11T20:51:56Z,7,15,MC,20,NULL,1020,Approved,May
397,2009-05-08T15:07:56Z,2,6,VI,20,B,1020,Approved,May
397,2009-05-19T20:57:24Z,2,6,VI,20,B,1020,Approved,May
410,2009-05-08T17:44:52Z,8,18,AX,20,NULL,1020,Approved,May
419,2009-05-31T18:58:18Z,2,6,VI,20,B,1020,Approved,May
421,2009-05-17T21:03:01Z,2,6,VI,20,H,1020,Approved,May
424,2009-05-07T00:15:19Z,10,6,DI,20,NULL,1020,Approved,May
441,2009-05-29T00:13:35Z,2,6,VI,20,H,1020,Approved,May
442,2009-05-02T16:14:37Z,2,6,VI,20,C,1020,Approved,May
442,2009-05-18T00:11:48Z,2,6,VI,20,C,1020,Approved,May
446,2009-05-17T14:27:29Z,8,18,AX,20,NULL,1020,Approved,May
465,2009-05-26T12:48:36Z,7,15,MC,35,NULL,1020,Approved,May
465,2009-05-27T10:18:56Z,7,15,MC,30,NULL,1885,Approved,May
490,2009-05-22T15:43:32Z,10,6,DI,20,NULL,1020,Approved,May
496,2009-05-28T12:24:53Z,2,6,VI,55,H,1060,Declined,May
496,2009-05-29T01:12:27Z,2,6,VI,55,H,1060,Declined,May
497,2009-05-28T18:45:42Z,7,15,MC,20,NULL,1320,Declined,May
497,2009-05-29T06:52:46Z,7,15,MC,20,NULL,1320,Declined,May
497,2009-05-29T19:43:12Z,7,15,MC,20,NULL,1320,Declined,May
497,2009-05-30T08:22:32Z,7,15,MC,20,NULL,1320,Declined,May
497,2009-05-30T20:42:34Z,7,15,MC,20,NULL,1320,Declined,May
497,2009-05-31T09:02:39Z,7,15,MC,20,NULL,1320,Declined,May
497,2009-05-31T21:42:40Z,7,15,MC,20,NULL,1320,Declined,May
498,2009-05-21T22:38:14Z,2,6,VI,20,H,1020,Approved,May
502,2009-05-30T13:39:22Z,7,15,MC,25,MDS,1020,Approved,May
511,2009-05-30T10:46:57Z,8,18,AX,20,NULL,1020,Approved,May
543,2009-05-02T15:14:00Z,2,6,VI,20,D,1020,Approved,May
