Account_ID,Transaction_Timestamp,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Response,Transaction_Status,Month
5,2009-01-08T00:16:41Z,2,6,VI,20,A,1020,Approved,Jan
16,2009-01-20T22:40:08Z,2,6,VI,20,H,1020,Approved,Jan
28,2009-01-19T13:24:55Z,2,6,VI,21,NULL,1020,Approved,Jan
40,2009-01-05T16:10:58Z,2,6,VI,20,H,1020,Approved,Jan
62,2009-01-21T19:13:13Z,2,6,VI,20,B,1020,Approved,Jan
64,2009-01-01T18:53:02Z,7,6,MC,20,NULL,1020,Approved,Jan
69,2009-01-08T00:15:19Z,2,6,VI,20,H,1020,Approved,Jan
69,2009-01-19T09:33:22Z,2,6,VI,20,H,1020,Approved,Jan
70,2009-01-05T12:07:47Z,2,6,VI,20,B,1020,Approved,Jan
79,2009-01-07T19:41:18Z,7,6,MC,20,NULL,1020,Approved,Jan
88,2009-01-26T15:21:28Z,8,18,AX,20,NULL,1020,Approved,Jan
90,2009-01-21T22:38:08Z,10,6,DI,20,NULL,1020,Approved,Jan
90,2009-01-29T14:26:19Z,10,6,DI,20,NULL,1020,Approved,Jan
95,2009-01-17T14:57:45Z,2,6,VI,20,G,1020,Approved,Jan
101,2009-01-14T19:25:56Z,2,6,VI,20,G2,1020,Approved,Jan
101,2009-01-20T14:33:27Z,2,6,VI,20,G2,1020,Approved,Jan
102,2009-01-08T14:25:39Z,2,6,VI,20,A,1020,Approved,Jan
102,2009-01-22T15:41:43Z,2,6,VI,20,A,1020,Approved,Jan
108,2009-01-26T20:33:52Z,2,6,VI,20,C,1020,Approved,Jan
111,2009-01-16T11:46:05Z,7,6,MC,20,NULL,1020,Approved,Jan
111,2009-01-28T16:04:45Z,7,6,MC,20,NULL,1320,Declined,Jan
111,2009-01-28T17:51:52Z,7,6,MC,20,NULL,1320,Declined,Jan
111,2009-01-28T17:53:18Z,7,6,MC,20,NULL,1320,Declined,Jan
111,2009-01-29T12:56:52Z,7,6,MC,20,NULL,1320,Declined,Jan
111,2009-01-30T01:12:22Z,7,6,MC,20,NULL,1320,Declined,Jan
115,2009-01-16T12:25:43Z,2,6,VI,20,A,1020,Approved,Jan
115,2009-01-23T10:08:59Z,2,6,VI,20,A,1020,Approved,Jan
