Account_ID,Transaction_Timestamp,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Response,Transaction_Status,Month
1,2009-07-13T19:08:50Z,8,23,AX,21,NULL,1020,Approved,Jul
10,2009-07-27T01:38:10Z,7,15,MC,20,MDS,1020,Approved,Jul
26,2009-07-13T10:58:51Z,8,23,AX,21,NULL,1020,Approved,Jul
33,2009-07-19T11:03:08Z,2,6,VI,20,H,1020,Approved,Jul
34,2009-07-29T18:52:02Z,2,6,VI,20,B,1020,Approved,Jul
53,2009-07-11T14:05:26Z,2,6,VI,20,A,1020,Approved,Jul
53,2009-07-27T00:15:00Z,2,6,VI,20,A,1020,Approved,Jul
57,2009-07-09T09:32:24Z,7,15,MC,20,NULL,1020,Approved,Jul
66,2009-07-30T12:02:44Z,2,6,VI,20,H,1020,Approved,Jul
85,2009-07-10T14:49:25Z,8,23,AX,21,NULL,1020,Approved,Jul
85,2009-07-11T12:03:03Z,8,23,AX,21,NULL,1020,Approved,Jul
86,2009-07-10T18:05:54Z,7,15,MC,35,MDS,1020,Approved,Jul
96,2009-07-28T21:12:15Z,7,15,MC,20,MPL,1020,Approved,Jul
113,2009-07-23T13:39:47Z,8,23,AX,21,NULL,1250,Declined,Jul
113,2009-07-23T13:41:39Z,8,23,AX,21,NULL,1250,Declined,Jul
113,2009-07-23T13:53:13Z,8,23,AX,21,NULL,1250,Declined,Jul
113,2009-07-23T15:28:02Z,8,23,AX,21,NULL,1020,Approved,Jul
124,2009-07-05T00:13:55Z,2,6,VI,25,S1,1020,Approved,Jul
124,2009-07-28T13:40:19Z,2,6,VI,25,S1,1020,Approved,Jul
133,2009-07-31T15:56:56Z,2,6,VI,20,H,1020,Approved,Jul
135,2009-07-08T18:09:59Z,8,23,AX,21,NULL,1020,Approved,Jul
138,2009-07-03T21:43:13Z,8,23,AX,21,NULL,1020,Approved,Jul
141,2009-07-23T01:49:52Z,2,6,VI,20,H,1020,Approved,Jul
146,2009-07-28T15:25:28Z,2,6,VI,21,A,1020,Approved,Jul
155,2009-07-29T19:49:12Z,8,23,AX,21,NULL,1020,Approved,Jul
156,2009-07-24T06:19:41Z,2,6,VI,20,H,1020,Approved,Jul
