Account_ID,Transaction_Timestamp,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Response,Transaction_Status,Month
8,2009-04-19T15:25:35Z,2,6,VI,20,B,1020,Approved,Apr
8,2009-04-29T13:46:18Z,2,6,VI,20,B,1020,Approved,Apr
9,2009-04-16T12:36:41Z,8,18,AX,20,NULL,1020,Approved,Apr
19,2009-04-27T23:07:43Z,2,6,VI,20,B,1020,Approved,Apr
25,2009-04-04T18:40:35Z,2,6,VI,20,B,1020,Approved,Apr
25,2009-04-17T16:10:23Z,2,18,VI,20,B,1020,Approved,Apr
25,2009-04-20T11:13:08Z,2,6,VI,20,B,1020,Approved,Apr
25,2009-04-27T16:19:17Z,2,6,VI,20,B,1020,Approved,Apr
28,2009-04-02T16:16:18Z,2,6,VI,21,NULL,1020,Approved,Apr
42,2009-04-09T15:54:05Z,8,18,AX,20,NULL,1020,Approved,Apr
50,2009-04-10T19:03:49Z,2,6,VI,20,D,1020,Approved,Apr
50,2009-04-17T15:54:13Z,2,6,VI,20,D,1020,Approved,Apr
65,2009-04-17T11:41:45Z,2,18,VI,20,A,1020,Approved,Apr
65,2009-04-24T09:34:27Z,2,6,VI,20,A,1020,Approved,Apr
68,2009-04-06T13:00:36Z,2,6,VI,25,B,1020,Approved,Apr
76,2009-04-05T08:42:01Z,7,15,MC,20,NULL,1020,Approved,Apr
76,2009-04-05T21:41:53Z,7,15,MC,20,NULL,1020,Approved,Apr
104,2009-04-02T09:03:36Z,7,15,MC,20,NULL,1020,Approved,Apr
112,2009-04-29T00:10:20Z,7,15,MC,20,MPL,1020,Approved,Apr
123,2009-04-25T15:18:07Z,2,6,VI,20,B,1020,Approved,Apr
125,2009-04-29T19:11:03Z,10,6,DI,20,NULL,1020,Approved,Apr
125,2009-04-30T09:40:50Z,10,6,DI,20,NULL,1020,Approved,Apr
128,2009-04-07T16:10:22Z,2,6,VI,20,A,1020,Approved,Apr
136,2009-04-23T15:41:08Z,2,6,VI,20,H,1020,Approved,Apr
144,2009-04-08T20:09:12Z,2,6,VI,20,B,1020,Approved,Apr
144,2009-04-15T17:54:37Z,2,6,VI,20,B,1020,Approved,Apr
144,2009-04-24T14:21:58Z,2,6,VI,20,B,1020,Approved,Apr
154,2009-04-06T00:40:32Z,7,15,MC,20,MWE,1020,Approved,Apr
154,2009-04-29T11:54:43Z,7,15,MC,20,MWE,1020,Approved,Apr
167,2009-04-03T09:44:18Z,2,6,VI,20,C,1020,Approved,Apr
171,2009-04-30T16:00:52Z,7,15,MC,20,NULL,1020,Approved,Apr
174,2009-04-21T19:41:13Z,2,18,VI,35,D,1020,Approved,Apr
176,2009-04-13T14:19:12Z,2,6,VI,20,B,1020,Approved,Apr
177,2009-04-10T20:08:25Z,2,6,VI,20,C,1020,Approved,Apr
183,2009-04-01T11:32:42Z,7,15,MC,20,NULL,1020,Approved,Apr
191,2009-04-29T14:14:49Z,2,6,VI,20,C,1020,Approved,Apr
211,2009-04-14T15:19:55Z,7,15,MC,35,MDS,1020,Approved,Apr
221,2009-04-10T11:21:26Z,8,18,AX,20,NULL,1020,Approved,Apr
227,2009-04-24T14:51:22Z,7,15,MC,10,NULL,1020,Approved,Apr
233,2009-04-09T05:23:49Z,2,6,VI,20,H,1020,Approved,Apr
236,2009-04-15T00:12:21Z,2,6,VI,20,C,1020,Approved,Apr
241,2009-04-03T11:18:51Z,2,6,VI,20,B,1020,Approved,Apr
241,2009-04-19T00:12:43Z,2,6,VI,20,B,1020,Approved,Apr
261,2009-04-08T16:28:27Z,2,6,VI,20,A,1020,Approved,Apr
301,2009-04-02T23:51:14Z,2,6,VI,20,C,1020,Approved,Apr
307,2009-04-03T13:53:55Z,2,6,VI,20,H,1020,Approved,Apr
311,2009-04-17T00:11:53Z,7,15,MC,20,NULL,1320,Declined,Apr
311,2009-04-17T12:13:06Z,7,15,MC,20,NULL,1320,Declined,Apr
311,2009-04-17T14:40:50Z,7,15,MC,20,NULL,1320,Declined,Apr
311,2009-04-18T06:10:23Z,7,15,MC,20,NULL,1320,Declined,Apr
323,2009-04-10T17:22:50Z,7,15,MC,20,NULL,1020,Approved,Apr
323,2009-04-10T17:38:49Z,7,15,MC,20,NULL,1020,Approved,Apr
326,2009-04-08T00:52:17Z,7,15,MC,20,MPL,1020,Approved,Apr
333,2009-04-03T07:04:35Z,2,6,VI,21,NULL,1020,Approved,Apr
343,2009-04-10T22:20:20Z,2,6,VI,20,H,1020,Approved,Apr
345,2009-04-07T23:46:17Z,8,18,AX,20,NULL,1020,Approved,Apr
355,2009-04-18T22:36:22Z,2,6,VI,20,B,1020,Approved,Apr
375,2009-04-15T08:43:53Z,2,6,VI,20,H,1020,Approved,Apr
383,2009-04-09T17:58:15Z,2,6,VI,20,H,1020,Approved,Apr
383,2009-04-16T10:25:20Z,2,6,VI,20,H,1020,Approved,Apr
386,2009-04-06T12:00:56Z,2,6,VI,20,G,1020,Approved,Apr
393,2009-04-14T13:56:31Z,7,15,MC,20,NULL,1020,Approved,Apr
407,2009-04-01T20:28:41Z,8,18,AX,20,NULL,1020,Approved,Apr
414,2009-04-27T22:14:54Z,2,6,VI,20,C,1020,Approved,Apr
424,2009-04-07T18:55:52Z,10,6,DI,20,NULL,1020,Approved,Apr
439,2009-04-30T13:37:32Z,2,6,VI,20,H,1020,Approved,Apr
448,2009-04-16T18:51:48Z,7,15,MC,20,MCW,1020,Approved,Apr
448,2009-04-23T18:47:05Z,7,15,MC,20,MCW,1020,Approved,Apr
450,2009-04-15T13:51:55Z,2,6,VI,20,A,1020,Approved,Apr
465,2009-04-28T20:41:53Z,7,15,MC,25,NULL,1020,Approved,Apr
469,2009-04-04T18:39:21Z,7,15,MC,20,NULL,1020,Approved,Apr
472,2009-04-10T15:14:03Z,2,6,VI,20,A,1020,Approved,Apr
472,2009-04-16T10:06:46Z,2,6,VI,20,B,1885,Approved,Apr
477,2009-04-19T14:20:07Z,2,6,VI,20,B,1020,Approved,Apr
477,2009-04-30T21:15:25Z,2,6,VI,20,B,1020,Approved,Apr
491,2009-04-17T13:20:14Z,2,6,VI,20,A,1020,Approved,Apr
501,2009-04-14T01:55:04Z,2,6,VI,20,B,1020,Approved,Apr
512,2009-04-26T21:42:03Z,10,6,DI,20,NULL,1020,Approved,Apr
514,2009-04-15T15:51:41Z,7,15,MC,20,MPL,1020,Approved,Apr
529,2009-04-13T11:47:42Z,2,6,VI,20,A,1020,Approved,Apr
529,2009-04-22T09:40:26Z,2,6,VI,20,A,1020,Approved,Apr
533,2009-04-09T00:14:40Z,2,6,VI,20,H,1020,Approved,Apr
535,2009-04-01T15:21:22Z,2,6,VI,20,H,1020,Approved,Apr
539,2009-04-08T14:59:24Z,2,6,VI,55,NULL,1815,Declined,Apr
558,2009-04-29T16:10:41Z,8,18,AX,20,NULL,1020,Approved,Apr
573,2009-04-05T16:53:02Z,8,18,AX,20,NULL,1020,Approved,Apr
573,2009-04-05T19:58:49Z,8,18,AX,20,NULL,1020,Approved,Apr
603,2009-04-19T10:27:45Z,2,6,VI,20,A,1020,Approved,Apr
605,2009-04-25T08:27:41Z,8,18,AX,20,NULL,1020,Approved,Apr
614,2009-04-16T22:04:12Z,2,6,VI,20,H,1020,Approved,Apr
616,2009-04-13T00:12:35Z,7,15,MC,20,MDG,1020,Approved,Apr
623,2009-04-26T09:05:53Z,7,15,MC,20,MPL,1020,Approved,Apr
629,2009-04-06T22:33:52Z,2,6,VI,20,C,1020,Approved,Apr
631,2009-04-11T17:04:18Z,2,6,VI,20,H,1020,Approved,Apr
633,2009-04-18T19:17:15Z,8,18,AX,20,NULL,1020,Approved,Apr
654,2009-04-17T18:24:12Z,2,6,VI,21,D,1020,Approved,Apr
654,2009-04-28T14:23:30Z,2,6,VI,21,D,1020,Approved,Apr
663,2009-04-06T09:45:27Z,2,6,VI,20,B,1020,Approved,Apr
667,2009-04-12T23:06:40Z,2,6,VI,20,H,1020,Approved,Apr
668,2009-04-07T10:34:59Z,2,6,VI,20,B,1020,Approved,Apr
675,2009-04-19T11:31:45Z,2,6,VI,20,C,1020,Approved,Apr
686,2009-04-15T14:02:44Z,2,6,VI,20,H,1020,Approved,Apr
723,2009-04-04T11:59:32Z,2,6,VI,20,H,1020,Approved,Apr
723,2009-04-07T11:57:10Z,2,6,VI,20,H,1020,Approved,Apr
728,2009-04-19T15:32:11Z,10,6,DI,25,NULL,1020,Approved,Apr
739,2009-04-08T21:37:51Z,2,6,VI,20,B,1020,Approved,Apr
739,2009-04-24T00:09:42Z,2,6,VI,20,B,1020,Approved,Apr
754,2009-04-10T10:40:08Z,2,6,VI,20,H,1020,Approved,Apr
755,2009-04-17T12:35:38Z,2,6,VI,20,B,1020,Approved,Apr
760,2009-04-29T15:21:07Z,2,6,VI,20,H,1020,Approved,Apr
766,2009-04-02T00:37:07Z,2,6,VI,20,B,1020,Approved,Apr
776,2009-04-22T17:33:19Z,2,6,VI,20,A,1020,Approved,Apr
784,2009-04-01T15:38:41Z,7,15,MC,20,NULL,1020,Approved,Apr
804,2009-04-22T14:46:45Z,2,6,VI,20,A,1020,Approved,Apr
808,2009-04-20T00:14:22Z,7,15,MC,20,NULL,1020,Approved,Apr
809,2009-04-09T18:50:20Z,7,15,MC,20,MWE,1020,Approved,Apr
813,2009-04-08T11:50:32Z,2,6,VI,20,A,1020,Approved,Apr
813,2009-04-10T17:11:14Z,2,6,VI,20,A,1020,Approved,Apr
825,2009-04-12T00:10:05Z,7,15,MC,20,NULL,1420,Declined,Apr
825,2009-04-12T12:22:02Z,7,15,MC,20,NULL,1420,Declined,Apr
825,2009-04-13T01:12:06Z,7,15,MC,20,NULL,1420,Declined,Apr
825,2009-04-13T13:50:30Z,7,15,MC,20,NULL,1420,Declined,Apr
825,2009-04-14T02:13:35Z,7,15,MC,20,NULL,1420,Declined,Apr
825,2009-04-14T14:25:49Z,7,15,MC,20,NULL,1420,Declined,Apr
825,2009-04-14T15:48:54Z,7,15,MC,20,NULL,1420,Declined,Apr
835,2009-04-03T10:11:01Z,2,6,VI,20,H,1020,Approved,Apr
835,2009-04-10T20:12:32Z,2,6,VI,20,H,1020,Approved,Apr
844,2009-04-25T13:01:01Z,2,6,VI,20,B,1020,Approved,Apr
848,2009-04-02T11:58:14Z,2,6,VI,20,G,1020,Approved,Apr
849,2009-04-17T10:13:30Z,8,18,AX,20,NULL,1020,Approved,Apr
850,2009-04-14T00:13:50Z,2,6,VI,20,H,1020,Approved,Apr
863,2009-04-16T19:08:19Z,2,6,VI,20,C,1020,Approved,Apr
863,2009-04-29T19:21:01Z,2,6,VI,20,C,1020,Approved,Apr
877,2009-04-06T11:09:15Z,7,15,MC,30,NULL,1020,Approved,Apr
885,2009-04-22T17:57:07Z,2,6,VI,20,A,1020,Approved,Apr
885,2009-04-24T12:41:28Z,2,6,VI,20,A,1020,Approved,Apr
886,2009-04-03T20:14:44Z,7,15,MC,20,NULL,1020,Approved,Apr
888,2009-04-03T11:44:20Z,2,6,VI,20,A,1020,Approved,Apr
892,2009-04-12T15:07:20Z,2,6,VI,20,A,1020,Approved,Apr
901,2009-04-01T08:42:30Z,8,18,AX,20,NULL,1020,Approved,Apr
905,2009-04-30T17:52:22Z,2,6,VI,20,B,1020,Approved,Apr
927,2009-04-24T15:38:18Z,2,6,VI,25,G,1020,Approved,Apr
962,2009-04-09T01:52:55Z,2,6,VI,21,D,1020,Approved,Apr
972,2009-04-17T15:22:08Z,2,6,VI,20,C,1020,Approved,Apr
1014,2009-04-24T20:57:12Z,8,18,AX,20,NULL,1020,Approved,Apr
1041,2009-04-11T13:12:29Z,2,6,VI,20,H,1020,Approved,Apr
1046,2009-04-10T00:11:26Z,10,6,DI,20,NULL,1020,Approved,Apr
1057,2009-04-02T11:26:02Z,8,18,AX,20,NULL,1020,Approved,Apr
1068,2009-04-02T11:37:27Z,2,6,VI,30,S,1020,Approved,Apr
1068,2009-04-02T11:37:29Z,2,6,VI,20,S,1020,Approved,Apr
1068,2009-04-17T18:58:36Z,2,18,VI,30,S,1020,Approved,Apr
1068,2009-04-17T18:58:48Z,2,6,VI,20,S,1020,Approved,Apr
1068,2009-04-23T15:02:05Z,2,6,VI,20,S,1020,Approved,Apr
1069,2009-04-12T20:47:51Z,2,6,VI,20,C,1020,Approved,Apr
1072,2009-04-30T12:05:03Z,7,15,MC,20,NULL,1020,Approved,Apr
1076,2009-04-20T13:49:30Z,10,6,DI,25,NULL,1020,Approved,Apr
1097,2009-04-24T23:47:07Z,2,6,VI,20,A,1020,Approved,Apr
1098,2009-04-14T09:46:03Z,7,15,MC,25,NULL,1020,Approved,Apr
1109,2009-04-08T17:13:27Z,2,6,VI,20,C,1020,Approved,Apr
1154,2009-04-02T10:19:44Z,8,18,AX,30,NULL,1020,Approved,Apr
1161,2009-04-03T13:21:36Z,8,18,AX,20,NULL,1020,Approved,Apr
1190,2009-04-21T00:14:39Z,10,6,DI,35,NULL,1020,Approved,Apr
1193,2009-04-19T07:52:48Z,2,6,VI,20,C,1020,Approved,Apr
1198,2009-04-23T17:52:08Z,8,18,AX,20,NULL,1020,Approved,Apr
1206,2009-04-16T11:20:23Z,7,15,MC,20,NULL,1020,Approved,Apr
1206,2009-04-30T12:46:02Z,7,15,MC,20,NULL,1020,Approved,Apr
1217,2009-04-12T18:13:37Z,8,18,AX,20,NULL,1020,Approved,Apr
