Account_ID,Transaction_Timestamp,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Response,Transaction_Status,Month
15,2009-06-02T15:54:21Z,8,18,AX,20,NULL,1020,Approved,Jun
43,2009-06-27T06:28:36Z,8,23,AX,21,NULL,1020,Approved,Jun
73,2009-06-01T14:51:09Z,8,18,AX,20,NULL,1020,Approved,Jun
78,2009-06-22T09:48:51Z,2,6,VI,20,B,1020,Approved,Jun
82,2009-06-15T18:00:55Z,2,6,VI,20,H,1020,Approved,Jun
106,2009-06-20T17:06:08Z,7,15,MC,20,MCS,1020,Approved,Jun
106,2009-06-21T14:25:33Z,7,15,MC,20,MCS,1020,Approved,Jun
124,2009-06-19T13:45:24Z,2,6,VI,25,S1,1020,Approved,Jun
133,2009-06-24T07:30:27Z,2,6,VI,20,H,1020,Approved,Jun
138,2009-06-05T19:12:54Z,8,18,AX,20,NULL,1020,Approved,Jun
142,2009-06-11T19:02:06Z,8,23,AX,21,NULL,1020,Approved,Jun
144,2009-06-11T00:15:13Z,2,6,VI,20,B,1020,Approved,Jun
146,2009-06-05T20:59:50Z,2,6,VI,21,A,1020,Approved,Jun
158,2009-06-29T11:40:32Z,2,6,VI,20,B,1020,Approved,Jun
186,2009-06-02T21:17:22Z,2,6,VI,20,A,1020,Approved,Jun
189,2009-06-16T15:56:48Z,8,23,AX,21,NULL,1020,Approved,Jun
190,2009-06-03T14:32:37Z,2,6,VI,21,B,1020,Approved,Jun
218,2009-06-26T13:04:09Z,7,15,MC,20,MCC,1020,Approved,Jun
236,2009-06-02T00:15:10Z,2,6,VI,20,C,1020,Approved,Jun
236,2009-06-18T00:11:39Z,2,6,VI,20,C,1020,Approved,Jun
245,2009-06-12T12:47:15Z,2,6,VI,30,B,1020,Approved,Jun
253,2009-06-29T18:34:54Z,7,15,MC,20,MPL,1020,Approved,Jun
268,2009-06-04T10:56:52Z,8,18,AX,20,NULL,1020,Approved,Jun
274,2009-06-30T13:26:55Z,8,23,AX,21,NULL,1020,Approved,Jun
282,2009-06-01T18:31:38Z,7,15,MC,10,NULL,1020,Approved,Jun
292,2009-06-18T18:35:19Z,10,6,DI,20,NULL,1020,Approved,Jun
298,2009-06-15T15:22:31Z,2,6,VI,20,C,1020,Approved,Jun
298,2009-06-24T00:42:15Z,2,6,VI,20,C,1020,Approved,Jun
326,2009-06-15T12:58:22Z,7,15,MC,20,MPL,1020,Approved,Jun
328,2009-06-10T21:08:44Z,8,23,AX,21,NULL,1020,Approved,Jun
330,2009-06-26T10:31:26Z,8,23,AX,21,NULL,1020,Approved,Jun
