Account_ID,Transaction_Timestamp,Factor_A,Factor_B,Factor_C,Factor_D,Factor_E,Response,Transaction_Status,Month
4,2009-08-17T14:20:06Z,8,23,AX,21,NULL,1020,Approved,Aug
6,2009-08-31T17:33:42Z,2,6,VI,25,G2,1020,Approved,Aug
22,2009-08-04T11:23:11Z,8,23,AX,26,NULL,1020,Approved,Aug
22,2009-08-11T12:44:38Z,8,23,AX,26,NULL,1020,Approved,Aug
32,2009-08-15T14:14:42Z,8,23,AX,21,NULL,1020,Approved,Aug
37,2009-08-18T20:16:04Z,7,15,MC,20,MPL,1020,Approved,Aug
49,2009-08-20T21:56:11Z,2,6,VI,20,D,1020,Approved,Aug
56,2009-08-26T17:25:55Z,2,6,VI,20,B,1020,Approved,Aug
60,2009-08-17T12:40:48Z,2,6,VI,20,G2,1020,Approved,Aug
81,2009-08-24T18:54:21Z,2,6,VI,20,B,1020,Approved,Aug
107,2009-08-16T12:25:04Z,7,15,MC,20,MCC,1020,Approved,Aug
109,2009-08-26T03:42:34Z,10,6,DI,20,NULL,1020,Approved,Aug
116,2009-08-03T20:00:25Z,10,6,DI,20,NULL,1020,Approved,Aug
138,2009-08-02T00:10:30Z,8,23,AX,21,NULL,1020,Approved,Aug
145,2009-08-05T13:19:22Z,2,6,VI,20,C,1020,Approved,Aug
215,2009-08-15T18:06:11Z,2,6,VI,20,H,1020,Approved,Aug
222,2009-08-19T07:58:33Z,2,6,VI,20,A,1020,Approved,Aug
236,2009-08-05T00:09:20Z,2,6,VI,20,C,1020,Approved,Aug
236,2009-08-21T00:15:45Z,2,6,VI,20,C,1020,Approved,Aug
242,2009-08-22T20:16:45Z,2,6,VI,20,D,1020,Approved,Aug
252,2009-08-19T19:41:38Z,2,6,VI,20,C,1020,Approved,Aug
264,2009-08-27T11:57:47Z,7,15,MC,20,MWE,1020,Approved,Aug
265,2009-08-14T00:20:38Z,2,6,VI,20,H,1020,Approved,Aug
280,2009-08-03T21:26:50Z,2,6,VI,20,H,1020,Approved,Aug
298,2009-08-04T14:40:47Z,2,6,VI,20,C,1020,Approved,Aug
298,2009-08-11T10:59:33Z,2,6,VI,20,C,1020,Approved,Aug
298,2009-08-12T13:16:20Z,2,6,VI,20,C,1020,Approved,Aug
299,2009-08-11T10:13:37Z,2,6,VI,20,C,1320,Declined,Aug
321,2009-08-19T23:11:55Z,8,23,AX,21,NULL,1020,Approved,Aug
327,2009-08-27T13:11:14Z,10,6,DI,20,NULL,1020,Approved,Aug
330,2009-08-25T00:15:00Z,8,23,AX,21,NULL,1020,Approved,Aug
353,2009-08-01T02:41:25Z,2,6,VI,20,A,1320,Declined,Aug
368,2009-08-25T00:53:33Z,2,6,VI,20,C,1020,Approved,Aug
374,2009-08-19T15:53:38Z,2,6,VI,20,G2,1020,Approved,Aug
389,2009-08-27T01:04:42Z,2,6,VI,20,H,1020,Approved,Aug
394,2009-08-16T00:12:45Z,2,6,VI,20,H,1020,Approved,Aug
423,2009-08-04T10:23:35Z,2,6,VI,20,B,1020,Approved,Aug
430,2009-08-19T21:44:25Z,7,15,MC,20,MPL,1020,Approved,Aug
430,2009-08-26T17:21:38Z,7,15,MC,20,MPL,1020,Approved,Aug
456,2009-08-22T08:06:52Z,2,6,VI,20,C,1020,Approved,Aug
458,2009-08-13T13:12:25Z,8,23,AX,21,NULL,1020,Approved,Aug
475,2009-08-15T08:38:20Z,10,6,DI,20,NULL,1020,Approved,Aug
487,2009-08-31T11:43:09Z,7,15,MC,20,MCC,1020,Approved,Aug
489,2009-08-20T15:41:41Z,2,6,VI,20,H,1020,Approved,Aug
518,2009-08-13T02:42:55Z,2,6,VI,20,A,1020,Approved,Aug
526,2009-08-29T12:57:57Z,8,23,AX,21,NULL,1020,Approved,Aug
537,2009-08-07T05:27:43Z,2,6,VI,55,NULL,1815,Declined,Aug
549,2009-08-01T13:49:09Z,7,15,MC,20,MCC,1020,Approved,Aug
549,2009-08-17T16:36:44Z,7,15,MC,20,MCC,1020,Approved,Aug
555,2009-08-31T10:10:56Z,8,23,AX,21,NULL,1020,Approved,Aug
563,2009-08-03T19:39:29Z,2,6,VI,20,B,1020,Approved,Aug
563,2009-08-19T00:13:42Z,2,6,VI,20,B,1020,Approved,Aug
564,2009-08-09T22:23:31Z,7,15,MC,20,MDG,1020,Approved,Aug
584,2009-08-15T10:15:40Z,8,23,AX,21,NULL,1020,Approved,Aug
589,2009-08-09T15:24:18Z,2,6,VI,20,H,1020,Approved,Aug
591,2009-08-10T18:14:34Z,2,6,VI,20,C,1020,Approved,Aug
591,2009-08-26T00:16:05Z,2,6,VI,20,C,1020,Approved,Aug
599,2009-08-04T15:27:07Z,2,6,VI,21,B,1020,Approved,Aug
600,2009-08-26T15:21:15Z,8,23,AX,21,NULL,1020,Approved,Aug
632,2009-08-12T13:25:00Z,7,15,MC,20,MCW,1020,Approved,Aug
649,2009-08-09T13:08:58Z,2,6,VI,20,B,1020,Approved,Aug
665,2009-08-09T10:42:40Z,2,6,VI,20,C,1020,Approved,Aug
674,2009-08-24T20:57:06Z,2,6,VI,20,B,1020,Approved,Aug
688,2009-08-11T08:09:49Z,8,23,AX,21,NULL,1020,Approved,Aug
701,2009-08-01T12:14:31Z,10,6,DI,20,NULL,1020,Approved,Aug
702,2009-08-18T22:45:48Z,8,23,AX,21,NULL,1020,Approved,Aug
704,2009-08-28T14:46:06Z,10,6,DI,20,NULL,1020,Approved,Aug
710,2009-08-04T16:05:38Z,7,15,MC,20,MCW,1020,Approved,Aug
727,2009-08-03T09:38:47Z,7,15,MC,20,MCW,1020,Approved,Aug
